"<gorodru>","<tell>","<gorodkz>","<vuzru>","<regionkz>","<addressru>","<id>","<vuzkz>","<regionru>","<addresskz>"
"Атырау","8 (7122) 31-93-00","Атырау","Атырауский инженерно-гуманитарный институт","Атырау облысы","Атырау, ул. Худина, 5","66","Атырау  инженерлік-гуманитарлық институт","Атырауская область","Атырау қ.,   Худин көшесі, 5"
"Семей","8 (7222) 323-513","Семей","Государственный университет им.Шакарима г.Семей","Шығыс Қазақстан облысы ","Семей, ул. Танирбергенова, 1","71","Семей қаласының Шәкәрім атындағы мемлекеттік университеті","Восточно-Казахстанская область","Семей қ.,   Тәңірбергенов көшесі, 1"
"Тараз","8 (7262) 54-11-24","Тараз","Таразский инновационный гуманитарный университет","Жамбыл облысы","Тараз, ул. Желтоксан, 69Б","76","Тараз  инновациялық-гуманитарлық университеті","Жамбылская область","Тараз қ.,   Желтоқсан көшесі, 69 «Б»"
"Темиртау","8(7213) 90-79-04 ","Теміртау","Карагандинский государственный индустриальный университет","Қарағанды облысы","Темиртау, пр. Республики, 30","81","Қарағанды мемлекеттік индустриалдық  университеті","Карагандинская область","Теміртау қ.,  Республика даңғылы, 30"
"Караганда ","8(7212) 42-04-25 ","Қарағанды","Академия ""Болашак""","Қарағанды облысы","Караганда, ул. Ерубаева, 16","86","«Болашақ» академиясы","Карагандинская область","Қарағанды  қ.,   Ерубаев көшесі 16"
"Рудный ","8 (71431) 50882","Рудный","Рудненский индустриальный институт","Қостанай облысы","Рудный, ул. 50 лет Октября, 38","90","Рудный индустриалдық институты","Костанайская область","Рудный қ., Октябрьдің 50 жылдығы көшесі 38"
"Кызылорда","8 (724 2) 26-27-14","Қызылорда","Кызылординский государственный университет им.Коркыт Ата","Қызылорда облысы","Кызылорда, ул. Айтеке би, 29А","95","Қорқыт Ата атындағы Қызылорда    мемлекеттік  университеті   ","Кызылординская область","Қызылорда қ.,  Айтеке би  көшесі, 29А"
"Павлодар","8 (7182) 65-16-02","Павлодар","Павлодарский государственный педагогический институт","Павлодар облысы","Павлодар, ул. Мира, 60","100","Павлодар  мемлекеттік педагогикалық  институты","Павлодарская область","Павлодар қ.,    Мир көшесі, 60"
"Туркестан","8 (72533) 6-37-45","Түркістан","Международный казахско-турецкий университет им.Х.А.Ясави","Оңтүстік Қазақстан облысы","Туркестан, пр. Саттарханова, 29","105","Х.А.Ясауи атындағы Халықаралық қазақ-түрік   университеті  ","Южно-Казахстанская область","Түркістан қ.,   Б.Саттарханов даңғылы, 29"
"Шымкент","8 (72-52) 55-58-61","Шымкент","Шымкентский университет","Оңтүстік Қазақстан облысы","Шымкент, ул. Жибек жолы, 131","110","Шымкент  университеті","Южно-Казахстанская область","Шымкент қ., Жібек жолы көшесі ,131"
"Шымкент","87252536782","Шымкент","Южно-Казахстанский Педагогический Университет","Оңтүстік Қазақстан облысы","Шымкент, ул. Токаева, 27а","115","Оңтүстік Қазақстан Педагогикалық Университеті","Южно-Казахстанская область","Шымкент қ.,  Тоқаев көшесі, 27а   "

